C++ GENERAL
__cpp_lib_int_pow2                           202002
__cpp_lib_integer_comparison_functions       202002
__cpp_lib_interpolate                        201902
__cpp_lib_is_constant_evaluated              201811
__cpp_lib_is_layout_compatible               ------
__cpp_lib_is_nothrow_convertible             201806
__cpp_lib_is_pointer_interconvertible        ------
__cpp_lib_jthread                            201911
__cpp_lib_latch                              ------
__cpp_lib_list_remove_return_type            201806
__cpp_lib_math_constants                     201907
__cpp_lib_polymorphic_allocator              201902
__cpp_lib_ranges                             201911
__cpp_lib_remove_cvref                       201711
__cpp_lib_semaphore                          ------
__cpp_lib_shared_ptr_arrays                  201611
__cpp_lib_shift                              201806
__cpp_lib_smart_ptr_for_overwrite            ------
__cpp_lib_source_location                    ------
__cpp_lib_span                               202002
__cpp_lib_ssize                              201902
__cpp_lib_starts_ends_with                   201711
__cpp_lib_string_view                        201803
__cpp_lib_syncbuf                            ------
__cpp_lib_three_way_comparison               201907
__cpp_lib_to_address                         201711
__cpp_lib_to_array                           201907
__cpp_lib_type_identity                      201806
__cpp_lib_unwrap_ref                         201811

C++23 CORE
__cpp_size_t_suffix                          ------

C++23 LIB
__cpp_lib_is_scoped_enum                     ------
__cpp_lib_stacktrace                         ------
__cpp_lib_stdatomic_h                        ------
__cpp_lib_string_contains                    ------
__cpp_lib_to_underlying                      ------
__cpp_lib_variant                            201606

ATTRIBUTES
carries_dependency                           ------
deprecated                                   201309
fallthrough                                  201603
likely                                       201803
maybe_unused                                 201603
nodiscard                                    201907
noreturn                                     200809
no_unique_address                            201803
unlikely                                     201803
